Number of Buckets,Maximum Nodes,Minimum Nodes,Average Nodes,Standard Deviation
1,638,638,638.0,0.0
3,220,203,212.66666666666666,7.133644853010899
5,135,117,127.6,5.986651818838307
7,99,85,91.14285714285714,5.026460595931194
11,66,51,58.0,5.559594491425693
13,62,33,49.07692307692308,8.686519515995757
17,46,29,37.529411764705884,4.960047996195951
19,43,22,33.578947368421055,5.470646930604751
23,37,12,27.73913043478261,5.862314361976756
29,32,12,22.0,4.705096283231913
31,28,14,20.580645161290324,3.526619449991341
37,25,12,17.243243243243242,3.364403528561175
41,22,3,15.560975609756097,3.9819640973489263
43,24,4,14.837209302325581,4.523479996835835
47,22,5,13.574468085106384,3.3942672624561316
53,25,6,12.037735849056604,4.26907379885094
59,21,4,10.813559322033898,3.5628715150734207
61,19,2,10.459016393442623,3.9195757987764703
67,21,2,9.522388059701493,3.59252212139233
71,19,2,8.985915492957746,3.5424705222922124
73,19,2,8.73972602739726,3.730758479056049
79,20,1,8.075949367088608,3.3931134722273866
83,14,2,7.686746987951807,2.989651673482377
89,19,0,7.168539325842697,3.8518518968114965
97,21,1,6.577319587628866,3.2675696430360213
101,16,1,6.316831683168317,3.3357668468911243
103,16,1,6.194174757281553,3.344487574279271
107,17,0,5.962616822429907,3.776279219155464
109,19,0,5.853211009174312,3.426356794334272
113,12,1,5.646017699115045,2.544890261320637
127,12,0,5.0236220472440944,2.434866702132114
131,15,0,4.870229007633588,3.180083408010969
137,14,0,4.656934306569343,2.9705069886144018
139,14,0,4.589928057553957,3.0811867041150958
149,14,0,4.281879194630872,3.0872775020506036
151,15,0,4.225165562913907,2.927766559268183
157,12,0,4.063694267515924,2.9273181323404054
163,16,0,3.914110429447853,3.118121923748912
167,13,0,3.820359281437126,2.961439586048491
173,13,0,3.6878612716763004,2.809093932327444
179,12,0,3.564245810055866,2.7806305032210483
181,12,0,3.5248618784530388,2.825630640553366
191,15,0,3.3403141361256545,2.8106748469070157
193,13,0,3.305699481865285,2.690381765549989
197,11,0,3.238578680203046,2.6579893951105387
199,15,0,3.2060301507537687,2.805730643041486
211,11,0,3.023696682464455,2.6041176986778427
223,11,0,2.8609865470852016,2.6488770638462245
227,11,0,2.8105726872246697,2.552406332488279
229,11,0,2.7860262008733625,2.46416702831166
233,12,0,2.7381974248927037,2.6295041414101146
239,14,0,2.6694560669456067,2.504295079737262
241,16,0,2.6473029045643153,2.4196813573081135
