Number of Buckets,Maximum Nodes,Minimum Nodes,Average Nodes,Standard Deviation
1,902,902,902.0,0.0
3,313,279,300.6666666666667,15.369522511198005
5,192,165,180.4,12.240914998479484
7,140,117,128.85714285714286,8.060991988380504
11,97,66,82.0,9.601136296387953
13,88,57,69.38461538461539,6.72010143625894
17,68,41,53.05882352941177,7.376198512666934
19,56,31,47.473684210526315,6.393816264688312
23,53,29,39.21739130434783,5.78571345222253
29,44,23,31.103448275862068,4.626347539654737
31,44,15,29.096774193548388,6.0925911575886635
37,40,15,24.37837837837838,5.424425994549407
41,37,11,22.0,5.300713251592634
43,28,11,20.976744186046513,4.106083813489007
47,31,8,19.19148936170213,4.5318649482813695
53,28,9,17.0188679245283,4.337160909643655
59,24,7,15.288135593220339,4.194632758849632
61,25,7,14.78688524590164,4.117594212836616
67,22,6,13.462686567164178,3.625483429253224
71,21,6,12.704225352112676,3.2257518664872533
73,22,3,12.356164383561644,4.399158895365871
79,24,2,11.417721518987342,4.1934475558257525
83,22,2,10.867469879518072,3.9171266957168465
89,19,1,10.134831460674157,3.663334918404743
97,20,2,9.29896907216495,3.8933327849416113
101,21,2,8.930693069306932,3.7264306860947807
103,19,0,8.757281553398059,3.947387041412111
107,24,0,8.429906542056075,3.8744602265787154
109,25,0,8.275229357798166,4.248845627647407
113,16,2,7.982300884955753,2.9807117427787353
127,14,2,7.102362204724409,2.5926444884732827
131,18,0,6.885496183206107,3.447847478459313
137,16,0,6.583941605839416,3.4864541537116427
139,18,0,6.489208633093525,3.7825173500242957
149,23,0,6.053691275167785,3.655987522373316
151,19,0,5.973509933774834,3.4409821096658475
157,17,0,5.745222929936306,3.272943431876577
163,16,0,5.533742331288344,3.4910616955057807
167,16,0,5.401197604790419,3.420718627863484
173,16,0,5.213872832369942,3.3062270073742397
179,15,0,5.039106145251397,3.4420390353069448
181,19,0,4.983425414364641,3.3182487861623517
191,22,0,4.722513089005235,3.5948575791297452
193,16,0,4.6735751295336785,3.1626342017527844
197,12,0,4.5786802030456855,2.949688494998558
199,17,0,4.532663316582915,3.1951106557871642
211,12,0,4.274881516587678,2.9159285320410646
223,14,0,4.044843049327354,2.8596085917895206
227,13,0,3.973568281938326,2.9051385506790464
229,18,0,3.938864628820961,3.005921452139836
233,14,0,3.871244635193133,2.846681178118335
239,13,0,3.774058577405858,2.6809409164331677
241,15,0,3.7427385892116183,3.166244285201806
